VENUE,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,SPREAD
Road,32,87,9,27,15,20,13,29,42,17,22,6,18,6,88,9.5
Home,45,94,13,35,14,19,11,40,51,31,22,12,14,5,117,-9.5
Road,40,82,8,24,16,16,6,25,31,19,19,9,11,5,104,6
Home,39,75,13,19,22,22,5,29,34,22,18,5,12,3,113,-6
Road,47,98,12,24,23,26,21,34,55,25,19,13,13,3,129,8
Home,40,85,7,33,13,18,8,27,35,24,19,11,16,6,100,-8
Road,47,97,4,16,10,16,16,36,52,27,22,5,10,7,108,4
Home,34,89,6,18,22,28,15,30,45,20,15,5,11,4,96,-4
Road,45,104,18,48,13,18,10,39,49,26,27,8,15,8,121,5
Home,47,93,10,19,26,34,8,44,52,30,23,11,16,6,130,-5
Road,43,97,15,44,16,20,15,29,44,22,19,8,16,3,117,14
Home,48,89,11,32,15,18,12,35,47,36,20,13,19,9,122,-14
Road,35,84,4,22,17,22,8,32,40,17,24,8,13,0,91,7
Home,41,86,3,18,24,29,14,37,51,17,22,8,11,0,109,-7
Road,40,89,7,23,20,24,11,40,51,27,22,5,10,10,107,0
Home,39,92,3,16,15,20,10,36,46,23,22,4,8,5,96,0
Road,36,86,6,18,20,29,15,30,45,20,23,6,10,5,98,3.5
Home,36,80,11,24,19,27,11,34,45,19,25,6,13,11,102,-3.5
Road,37,83,8,24,25,33,11,47,58,18,22,7,24,4,107,4
Home,38,92,3,19,23,26,5,28,33,31,29,16,11,5,102,-4
Road,39,94,6,22,19,26,13,40,53,19,23,7,10,3,103,-7
Home,36,84,7,24,18,25,5,38,43,21,22,5,13,10,97,7
Road,44,86,6,21,19,26,10,31,41,24,20,5,13,5,113,3
Home,36,77,4,16,18,27,10,31,41,20,29,6,18,3,94,-3
Road,44,86,7,29,19,27,10,29,39,29,23,10,14,1,114,-5
Home,45,89,12,35,18,22,11,28,39,21,24,10,15,4,120,5
Road,40,94,6,20,13,18,12,28,40,25,20,14,19,4,99,2.5
Home,44,88,12,26,14,18,14,38,52,28,19,13,21,7,114,-2.5
Road,38,76,8,23,15,24,3,33,36,22,25,6,11,6,99,-1
Home,36,92,11,25,22,30,18,37,55,25,21,5,12,1,105,1
Road,36,79,6,18,24,27,9,31,40,23,26,10,9,8,102,-8
Home,28,70,6,20,32,38,6,34,40,22,21,7,15,0,94,8
Road,37,91,8,29,32,46,15,33,48,12,25,10,7,4,114,-1.5
Home,39,85,4,18,24,32,9,39,48,18,34,4,14,4,106,1.5
Road,33,79,12,32,16,22,9,31,40,20,15,8,17,3,94,-3
Home,35,90,4,16,17,18,18,33,51,12,20,9,18,3,91,3
Road,37,98,7,24,13,20,14,35,49,22,22,7,13,6,94,-6.5
Home,38,87,10,33,17,20,12,40,52,20,23,6,16,4,103,6.5
Road,33,95,8,26,8,12,14,30,44,20,13,8,9,3,82,4
Home,48,95,7,19,5,6,9,44,53,27,11,8,12,4,108,-4
Road,42,94,5,28,21,32,7,37,44,15,29,11,15,3,110,10.5
Home,40,96,5,21,28,38,14,43,57,13,24,11,22,3,113,-10.5
Road,35,92,7,22,20,24,13,36,49,20,20,10,8,9,97,1.5
Home,32,86,14,34,13,20,11,41,52,19,23,2,19,4,91,-1.5
Road,33,70,15,32,25,31,5,36,41,21,22,6,18,1,106,2
Home,35,80,8,29,20,24,6,28,34,13,21,11,9,2,98,-2
Road,32,84,9,23,16,21,11,32,43,16,29,6,14,7,89,9.5
Home,31,75,6,25,28,40,13,34,47,14,18,4,14,7,96,-9.5
Road,44,91,9,28,25,28,9,40,49,32,22,8,14,2,122,-9.5
Home,47,100,5,22,15,23,12,37,49,29,24,8,13,5,114,9.5
Road,42,85,5,20,15,23,6,41,47,31,14,11,12,7,104,-6.5
Home,28,80,5,18,11,15,4,35,39,16,20,9,20,5,72,6.5
Road,39,81,15,31,11,17,4,38,42,25,26,4,13,6,104,-1.5
Home,32,79,9,32,25,33,6,32,38,22,17,8,8,6,98,1.5
Road,37,86,9,25,21,26,11,29,40,19,30,3,12,2,104,2.5
Home,40,76,6,21,25,39,6,35,41,24,25,4,12,4,111,-2.5
Road,38,84,8,28,15,26,13,37,50,21,23,6,20,5,99,11.5
Home,36,88,11,37,22,30,13,27,40,17,27,8,9,6,105,-11.5
Road,43,88,7,18,8,9,8,25,33,34,16,8,13,7,101,3
Home,45,86,9,21,19,21,13,34,47,34,14,8,12,6,118,-3
Road,37,84,11,34,23,28,11,34,45,23,22,12,18,6,108,6.5
Home,41,88,8,22,20,24,8,36,44,25,23,14,14,5,110,-6.5
Road,32,86,4,22,11,15,7,38,45,14,19,6,9,5,79,12.5
Home,35,83,10,24,18,23,6,44,50,21,15,6,9,7,98,-12.5
Road,45,98,10,32,15,21,5,40,45,23,30,10,15,8,115,1
Home,38,100,6,23,31,39,16,45,61,19,21,10,17,5,113,-1
Road,37,70,7,22,22,31,7,29,36,19,25,6,11,5,103,-2.5
Home,39,85,9,26,19,25,11,20,31,24,24,6,13,5,106,2.5
Road,29,73,7,19,10,13,7,36,43,18,22,8,18,2,75,8
Home,34,83,6,27,14,20,14,35,49,17,14,8,13,4,88,-8
Road,35,83,8,29,28,33,7,36,43,27,23,6,15,5,106,-12
Home,37,90,8,23,18,25,11,39,50,19,26,10,11,6,100,12
Road,37,82,10,18,22,26,14,30,44,20,26,4,15,5,106,-6
Home,37,80,7,20,18,26,6,30,36,19,24,7,12,6,99,6
Road,34,87,4,17,11,14,10,30,40,22,16,10,12,4,83,7
Home,39,88,5,20,15,20,16,42,58,23,14,8,15,4,98,-7
Road,35,87,7,32,19,24,11,30,41,20,18,15,21,2,96,8.5
Home,45,95,9,26,14,17,10,35,45,29,22,15,19,6,113,-8.5
Road,38,86,5,25,22,25,8,32,40,19,23,8,14,4,103,1
Home,39,88,15,31,19,26,11,36,47,24,26,9,14,2,112,-1
Road,32,84,11,30,17,20,12,30,42,17,17,8,9,3,92,6.5
Home,34,80,11,31,14,21,9,37,46,16,21,5,17,4,93,-6.5
Road,33,81,9,22,27,35,11,35,46,14,18,2,8,9,102,7.5
Home,41,88,4,16,19,25,11,32,43,16,28,7,7,9,105,-7.5
Road,45,89,11,27,17,18,13,45,58,26,22,9,19,9,118,-5.5
Home,33,96,5,31,17,21,16,29,45,14,15,12,15,3,88,5.5
Road,36,75,10,23,13,19,6,32,38,26,34,10,19,6,95,7.5
Home,33,79,11,30,29,47,17,26,43,24,20,11,13,6,106,-7.5
Road,35,84,5,15,23,31,10,34,44,19,33,11,20,0,98,10.5
Home,40,80,6,16,30,38,5,39,44,21,23,8,16,4,116,-10.5
Road,43,90,17,44,17,25,11,21,32,30,25,5,7,2,120,8.5
Home,43,83,16,32,26,31,12,34,46,22,21,4,11,2,128,-8.5
Road,42,93,6,25,13,17,12,27,39,29,15,7,10,6,103,-4
Home,40,81,9,20,12,16,7,35,42,28,20,5,15,8,101,4
Road,40,89,6,28,22,25,11,33,44,14,25,8,19,2,108,9.5
Home,41,87,10,28,23,29,11,32,43,19,20,10,15,8,115,-9.5
Road,34,89,5,23,23,27,9,44,53,12,23,4,15,4,96,4
Home,37,86,13,29,21,29,6,39,45,24,21,10,15,9,108,-4
Road,35,86,7,22,12,15,8,35,43,18,20,6,11,9,89,3.5
Home,41,89,8,13,12,21,10,38,48,19,16,7,10,5,102,-3.5
Road,44,91,10,32,19,21,11,38,49,30,25,9,15,5,117,3
Home,36,82,9,26,32,41,9,33,42,23,17,13,13,5,113,-3
Road,27,75,4,24,22,29,8,24,32,10,22,17,20,4,80,5.5
Home,43,78,12,20,18,23,10,40,50,29,22,10,21,5,116,-5.5
Road,38,76,15,31,15,18,2,37,39,22,20,5,10,8,106,11
Home,33,76,6,20,19,21,4,30,34,19,15,6,9,5,91,-11
Road,50,89,10,26,17,23,7,38,45,36,19,14,16,4,127,-6
Home,37,86,14,39,16,21,6,26,32,23,17,12,18,4,104,6
Road,43,77,10,25,17,25,4,27,31,21,24,16,13,2,113,1
Home,42,72,3,10,16,24,6,30,36,21,20,8,20,5,103,-1
Road,34,86,12,38,13,15,8,29,37,23,24,8,17,2,93,11.5
Home,39,79,13,34,18,26,9,35,44,25,17,8,15,3,109,-11.5
Road,37,88,9,25,18,21,10,28,38,21,18,11,13,6,101,-4
Home,41,76,13,27,14,17,5,40,45,27,23,10,19,3,109,4
Road,42,89,15,40,19,27,19,35,54,25,21,12,19,8,118,1
Home,37,85,8,20,17,25,7,27,34,18,22,10,16,6,99,-1
Road,48,90,9,22,18,20,11,31,42,24,25,11,15,9,123,11
Home,41,85,11,32,23,29,10,27,37,30,19,10,18,1,116,-11
Road,30,81,11,34,12,16,5,38,43,17,26,8,21,9,83,6
Home,33,94,8,27,15,20,13,39,52,20,22,12,17,5,89,-6
Road,35,81,7,20,23,31,15,34,49,21,19,7,19,7,100,2.5
Home,41,87,14,32,11,17,10,29,39,28,24,10,12,4,107,-2.5
Road,33,77,7,26,8,10,6,30,36,18,20,4,12,4,81,4.5
Home,35,77,12,25,15,26,7,34,41,18,21,6,12,3,97,-4.5
Road,42,101,12,33,19,21,10,43,53,25,23,8,14,8,115,-3.5
Home,44,103,5,16,25,30,14,45,59,15,20,10,12,5,118,3.5
Road,34,84,5,20,12,20,10,42,52,14,24,8,21,4,85,6
