Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2017-18,BRK,NBA,82,28,54,0.341,19855,3136,7114,2095,4190,1041,2924,1428,1850,792,2851,3643,1942,512,390,1245,1688,8741
2,2016-17,BRK,NBA,82,20,62,0.244,19755,3102,6987,2225,4396,877,2591,1592,2020,721,2879,3600,1756,593,387,1356,1726,8673
3,2015-16,BRK,NBA,82,21,61,0.256,19755,3136,6920,2605,5412,531,1508,1286,1699,863,2614,3477,1829,627,332,1212,1476,8089
4,2014-15,BRK*,NBA,82,38,44,0.463,19930,3069,6804,2528,5171,541,1633,1359,1817,846,2627,3473,1716,576,340,1133,1579,8038
5,2013-14,BRK*,NBA,82,44,38,0.537,19880,2931,6391,2222,4469,709,1922,1508,2002,721,2407,3128,1714,705,311,1191,1777,8079
6,2012-13,BRK*,NBA,82,49,33,0.598,19855,2942,6544,2314,4784,628,1760,1432,1958,1047,2460,3507,1668,599,391,1206,1500,7944
7,2011-12,NJN,NBA,66,22,44,0.333,15890,2262,5320,1755,3839,507,1481,1113,1433,783,1879,2662,1311,493,260,995,1268,6144
8,2010-11,NJN,NBA,82,24,58,0.293,20005,2918,6638,2459,5301,459,1337,1427,1881,909,2440,3349,1723,458,384,1152,1807,7722
9,2009-10,NJN,NBA,82,12,70,0.146,19780,2813,6554,2436,5369,377,1185,1572,2015,897,2358,3255,1540,573,393,1182,1643,7575
10,2008-09,NJN,NBA,82,34,48,0.415,19830,2925,6536,2273,4801,652,1735,1542,1980,850,2415,3265,1636,559,391,1075,1838,8044
11,2007-08,NJN,NBA,82,34,48,0.415,19830,2856,6450,2358,5020,498,1430,1647,2237,913,2520,3433,1925,521,390,1229,1855,7857
12,2006-07,NJN*,NBA,82,41,41,0.5,19880,2913,6379,2304,4703,609,1676,1566,2153,822,2525,3347,1962,499,273,1212,1869,8001
13,2005-06,NJN*,NBA,82,49,33,0.598,19780,2778,6317,2301,4870,477,1447,1658,2187,822,2539,3361,1884,558,278,1119,1903,7691
14,2004-05,NJN*,NBA,82,42,40,0.512,19905,2753,6419,2318,5216,435,1203,1555,2039,855,2387,3242,1772,650,308,1164,1985,7496
15,2003-04,NJN*,NBA,82,47,35,0.573,19705,2813,6372,2436,5249,377,1123,1398,1856,862,2473,3335,2009,709,322,1209,1722,7401
16,2002-03,NJN*,NBA,82,49,33,0.598,19755,2906,6585,2560,5544,346,1041,1662,2195,991,2528,3519,1887,717,374,1212,1772,7820
17,2001-02,NJN*,NBA,82,52,30,0.634,19830,3042,6816,2639,5622,403,1194,1402,1907,1039,2515,3554,1990,716,490,1189,1734,7889
18,2000-01,NJN,NBA,82,26,56,0.317,19730,2781,6550,2420,5466,361,1084,1629,2146,909,2337,3246,1603,649,407,1208,1982,7552
19,1999-00,NJN,NBA,82,31,51,0.378,19830,2979,6881,2502,5507,477,1374,1601,2041,1040,2315,3355,1688,720,393,1119,1913,8036
20,1998-99,NJN,NBA,50,16,34,0.32,12050,1691,4160,1466,3481,225,679,962,1251,715,1437,2152,923,491,273,750,1134,4569
21,1997-98,NJN*,NBA,82,43,39,0.524,19880,3055,6928,2745,5991,310,937,1750,2351,1344,2137,3481,1685,777,314,1180,1917,8170
22,1996-97,NJN,NBA,82,26,56,0.317,19780,2994,7091,2510,5720,484,1371,1502,2031,1410,2376,3786,1726,677,481,1290,1865,7974
23,1995-96,NJN,NBA,82,30,52,0.366,19905,2881,6750,2631,6004,250,746,1672,2244,1350,2503,3853,1752,627,571,1375,1880,7684
24,1994-95,NJN,NBA,82,30,52,0.366,19880,2939,6738,2525,5441,414,1297,1750,2305,1213,2569,3782,1884,544,548,1300,1844,8042
25,1993-94,NJN*,NBA,82,45,37,0.549,19830,3169,7115,2946,6432,223,683,1900,2495,1300,2556,3856,1900,696,576,1196,1693,8461
26,1992-93,NJN*,NBA,82,43,39,0.524,19780,3272,7084,3117,6596,155,488,1732,2258,1291,2506,3797,1872,693,526,1355,1892,8431
27,1991-92,NJN*,NBA,82,40,42,0.488,19780,3473,7580,3249,6910,224,670,1471,2009,1512,2392,3904,1937,736,615,1392,1834,8641
28,1990-91,NJN,NBA,82,26,56,0.317,19830,3311,7459,3150,6873,161,586,1658,2245,1400,2348,3748,1782,748,600,1423,1954,8441
29,1989-90,NJN,NBA,82,17,65,0.207,19705,3157,7415,3017,6909,140,506,1754,2350,1363,2324,3687,1475,774,481,1360,1952,8208
30,1988-89,NJN,NBA,82,26,56,0.317,19805,3333,7226,3146,6658,187,568,1653,2260,1204,2419,3623,1793,773,431,1449,1966,8506
31,1987-88,NJN,NBA,82,19,63,0.232,19780,3208,6857,3071,6402,137,455,1682,2308,1075,2262,3337,1795,727,385,1503,2042,8235
32,1986-87,NJN,NBA,82,24,58,0.293,19855,3374,7083,3229,6634,145,449,2000,2607,1169,2409,3578,1991,643,397,1617,2353,8893
33,1985-86,NJN*,NBA,82,39,43,0.476,19805,3548,7301,3505,7087,43,214,1810,2396,1183,2483,3666,2128,749,345,1575,2129,8949
34,1984-85,NJN*,NBA,82,42,40,0.512,19755,3646,7445,3594,7221,52,224,1631,2237,1233,2325,3558,2163,772,415,1355,2011,8975
35,1983-84,NJN*,NBA,82,45,37,0.549,19805,3614,7258,3565,7026,49,232,1742,2488,1221,2313,3534,2148,814,499,1608,2243,9019
36,1982-83,NJN*,NBA,82,49,33,0.598,19705,3510,7140,3480,6991,30,149,1622,2301,1266,2427,3693,2143,911,592,1873,2166,8672
37,1981-82,NJN*,NBA,82,44,38,0.537,19780,3501,7227,3471,7081,30,146,1714,2354,1194,2320,3514,2096,918,481,1650,2295,8746
38,1980-81,NJN,NBA,82,24,58,0.293,19805,3477,7314,3443,7176,34,138,1780,2371,1092,2374,3466,2068,750,458,1664,2204,8768
39,1979-80,NJN,NBA,82,34,48,0.415,19805,3456,7504,3371,7206,85,298,1882,2406,1229,2535,3764,2094,869,581,1702,2181,8879
40,1978-79,NJN*,NBA,82,37,45,0.451,19755,3464,7523,3464,7523,,,1904,2613,1241,2370,3611,1907,853,619,1861,2329,8832
41,1977-78,NJN,NBA,82,24,58,0.293,19905,3547,8004,3547,8004,,,1652,2304,1306,2595,3901,1879,857,631,1774,2312,8746
42,1976-77,NYN,NBA,82,22,60,0.268,19730,3096,7222,3096,7222,,,1673,2274,1157,2547,3704,1422,802,435,1630,2178,7865
,,,,,,,,,,,,,,,,,,,,,,,,,
