Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2017-18,LAL,NBA,82,35,47,0.427,19905,3338,7248,2516,4864,822,2384,1364,1910,876,2926,3802,1949,633,388,1295,1738,8862
2,2016-17,LAL,NBA,82,26,56,0.317,19705,3224,7164,2494,5054,730,2110,1397,1853,933,2636,3569,1716,674,320,1243,1698,8575
3,2015-16,LAL,NBA,82,17,65,0.207,19730,2880,6956,2241,4940,639,2016,1583,2028,878,2645,3523,1478,593,337,1124,1662,7982
4,2014-15,LAL,NBA,82,21,61,0.256,19930,3054,7020,2522,5474,532,1546,1433,1935,952,2647,3599,1715,578,366,1086,1741,8073
5,2013-14,LAL,NBA,82,27,55,0.329,19705,3139,6980,2365,4948,774,2032,1390,1835,745,2620,3365,2006,611,446,1239,1627,8442
6,2012-13,LAL*,NBA,82,45,37,0.549,19755,3041,6640,2326,4625,715,2015,1584,2289,942,2732,3674,1818,576,429,1232,1467,8381
7,2011-12,LAL*,NBA,66,41,25,0.621,16065,2429,5319,2067,4207,362,1112,1202,1589,799,2251,3050,1485,390,351,997,1109,6422
8,2010-11,LAL*,NBA,82,57,25,0.695,19830,3128,6757,2604,5270,524,1487,1541,1979,989,2616,3605,1801,602,422,1073,1555,8321
9,2009-10,LAL*,NBA,82,57,25,0.695,19830,3144,6875,2612,5313,532,1562,1519,1985,973,2662,3635,1730,612,400,1096,1592,8339
10,2008-09,LAL*,NBA,82,65,17,0.793,19780,3307,6981,2760,5465,547,1516,1607,2087,1015,2587,3602,1908,718,420,1103,1698,8768
11,2007-08,LAL*,NBA,82,57,25,0.695,19780,3248,6818,2586,5067,662,1751,1746,2270,898,2722,3620,2003,654,438,1156,1691,8904
12,2006-07,LAL*,NBA,82,42,40,0.512,20030,3103,6664,2495,4940,608,1724,1660,2221,886,2495,3381,1850,600,421,1273,1889,8474
13,2005-06,LAL*,NBA,82,45,37,0.549,19855,2992,6607,2440,5024,552,1583,1618,2172,970,2488,3458,1734,628,350,1143,1894,8154
14,2004-05,LAL,NBA,82,34,48,0.415,19780,2895,6629,2251,4816,644,1813,1661,2137,1028,2511,3539,1672,508,344,1176,1794,8095
15,2003-04,LAL*,NBA,82,56,26,0.683,19855,3028,6676,2663,5561,365,1115,1631,2352,1001,2535,3536,1948,682,379,1132,1732,8052
16,2002-03,LAL*,NBA,82,50,32,0.61,19930,3091,6856,2605,5489,486,1367,1562,2129,1078,2554,3632,1909,639,470,1192,1874,8230
17,2001-02,LAL*,NBA,82,58,24,0.707,19780,3150,6840,2640,5401,510,1439,1494,2138,1022,2607,3629,1882,625,478,1040,1823,8304
18,2000-01,LAL*,NBA,82,56,26,0.683,19905,3109,6685,2670,5410,439,1275,1594,2333,1085,2583,3668,1888,564,490,1184,1872,8251
19,1999-00,LAL*,NBA,82,67,15,0.817,19805,3137,6836,2793,5789,344,1047,1649,2368,1117,2738,3855,1921,613,534,1143,1841,8267
20,1998-99,LAL*,NBA,50,31,19,0.62,12050,1841,3935,1600,3250,241,685,1027,1503,619,1482,2101,1095,389,287,754,1231,4950
21,1997-98,LAL*,NBA,82,61,21,0.744,19830,3146,6536,2649,5121,497,1415,1863,2743,1079,2471,3550,2009,734,556,1256,1859,8652
22,1996-97,LAL*,NBA,82,56,26,0.683,19930,3018,6642,2467,5142,551,1500,1613,2330,1092,2414,3506,1845,740,575,1222,1818,8200
23,1995-96,LAL*,NBA,82,53,29,0.646,19680,3216,6706,2739,5347,477,1359,1529,2049,995,2303,3298,2080,722,516,1163,1702,8438
24,1994-95,LAL*,NBA,82,48,34,0.585,19905,3284,7088,2759,5596,525,1492,1523,2072,1126,2316,3442,2078,750,563,1243,1933,8616
25,1993-94,LAL,NBA,82,33,49,0.402,19755,3291,7316,3050,6513,241,803,1410,1967,1260,2204,3464,1983,751,461,1197,1877,8233
26,1992-93,LAL*,NBA,82,39,43,0.476,19830,3309,6994,3122,6368,187,626,1741,2304,1103,2288,3391,2013,782,431,1266,1778,8546
27,1991-92,LAL*,NBA,82,43,39,0.524,19830,3183,6977,3064,6532,119,445,1744,2278,1156,2196,3352,1803,756,400,1089,1543,8229
28,1990-91,LAL*,NBA,82,58,24,0.707,19830,3343,6911,3117,6167,226,744,1805,2261,1078,2440,3518,2091,642,384,1203,1524,8717
29,1989-90,LAL*,NBA,82,63,19,0.768,19855,3434,7010,3125,6169,309,841,1902,2417,1097,2460,3557,2232,655,445,1226,1737,9079
30,1988-89,LAL*,NBA,82,57,25,0.695,19805,3584,7143,3357,6476,227,667,2011,2508,1094,2612,3706,2282,724,421,1344,1672,9406
31,1987-88,LAL*,NBA,82,62,20,0.756,19805,3576,7078,3434,6600,142,478,1956,2480,1073,2491,3564,2347,672,404,1318,1715,9250
32,1986-87,LAL*,NBA,82,65,17,0.793,19730,3740,7245,3576,6798,164,447,2012,2550,1127,2515,3642,2428,728,482,1358,1853,9656
33,1985-86,LAL*,NBA,82,62,20,0.756,19830,3834,7343,3696,6934,138,409,1812,2329,1101,2555,3656,2433,693,419,1467,2031,9618
34,1984-85,LAL*,NBA,82,62,20,0.756,19755,3952,7254,3862,6959,90,295,1702,2232,1063,2550,3613,2575,695,481,1537,1931,9696
35,1983-84,LAL*,NBA,82,54,28,0.659,19780,3854,7250,3796,7024,58,226,1712,2272,1095,2499,3594,2455,726,478,1578,2054,9478
36,1982-83,LAL*,NBA,82,58,24,0.707,19730,3964,7512,3954,7416,10,96,1495,2031,1235,2433,3668,2519,844,479,1584,1931,9433
37,1981-82,LAL*,NBA,82,57,25,0.695,19855,3919,7585,3906,7491,13,94,1549,2161,1258,2505,3763,2356,848,517,1468,1999,9400
38,1980-81,LAL*,NBA,82,54,28,0.659,19805,3780,7382,3763,7288,17,94,1540,2113,1165,2491,3656,2363,808,551,1557,1955,9117
39,1979-80,LAL*,NBA,82,60,22,0.732,19880,3898,7368,3878,7268,20,100,1622,2092,1085,2653,3738,2413,774,546,1639,1784,9438
40,1978-79,LAL*,NBA,82,47,35,0.573,19780,3827,7397,3827,7397,,,1606,2088,949,2557,3506,2338,793,500,1569,1851,9260
41,1977-78,LAL*,NBA,82,45,37,0.549,19805,3734,7672,3734,7672,,,1576,2095,1136,2647,3783,2229,802,409,1548,1964,9044
42,1976-77,LAL*,NBA,82,53,29,0.646,19805,3663,7657,3663,7657,,,1437,1941,1177,2628,3805,2057,801,445,1538,1867,8763
43,1975-76,LAL,NBA,82,40,42,0.488,19705,3547,7622,3547,7622,,,1670,2164,1132,2870,4002,1939,674,528,1612,2025,8764
44,1974-75,LAL,NBA,82,30,52,0.366,19855,3409,7577,3409,7577,,,1641,2182,1312,2763,4075,2091,755,423,1785,2079,8459
45,1973-74,LAL*,NBA,82,47,35,0.573,19755,3536,7803,3536,7803,,,1879,2443,1365,2970,4335,2179,794,653,1913,2032,8951
46,1972-73,LAL*,NBA,82,60,22,0.732,19755,3740,7819,3740,7819,,,1679,2264,,,4562,2302,,,,1636,9159
47,1971-72,LAL*,NBA,82,69,13,0.841,19755,3920,7998,3920,7998,,,2080,2833,,,4628,2232,,,,1636,9920
48,1970-71,LAL*,NBA,82,48,34,0.585,19755,3739,7857,3739,7857,,,1933,2717,,,4269,2205,,,,1709,9411
49,1969-70,LAL*,NBA,82,46,36,0.561,19830,3668,7952,3668,7952,,,1991,2641,,,4154,2030,,,,1896,9327
50,1968-69,LAL*,NBA,82,55,27,0.671,19905,3574,7620,3574,7620,,,2056,3161,,,4749,2068,,,,1773,9204
51,1967-68,LAL*,NBA,82,52,30,0.634,19855,3827,8031,3827,8031,,,2283,3143,,,5225,1983,,,,2152,9937
52,1966-67,LAL*,NBA,81,36,45,0.444,19565,3786,8466,3786,8466,,,2192,2917,,,5415,1906,,,,2168,9764
53,1965-66,LAL*,NBA,80,45,35,0.563,19250,3597,8109,3597,8109,,,2363,3057,,,5334,1936,,,,2035,9557
54,1964-65,LAL*,NBA,80,49,31,0.613,19350,3336,7628,3336,7628,,,2276,2984,,,5231,1601,,,,1998,8948
55,1963-64,LAL*,NBA,80,42,38,0.525,,3272,7438,3272,7438,,,2230,2910,,,5025,1676,,,,1997,8774
56,1962-63,LAL*,NBA,80,53,27,0.663,,3506,7948,3506,7948,,,2230,2931,,,5282,1739,,,,1775,9242
57,1961-62,LAL*,NBA,80,54,26,0.675,,3552,8315,3552,8315,,,2378,3240,,,5600,1878,,,,2057,9482
58,1960-61,LAL*,NBA,79,36,43,0.456,,3401,8430,3401,8430,,,2204,2999,,,5816,1728,,,,2043,9006
59,1959-60,MNL*,NBA,75,25,50,0.333,,3040,7884,3040,7884,,,1965,2691,,,5432,1444,,,,1813,8045
60,1958-59,MNL*,NBA,72,33,39,0.458,,2779,7084,2779,7084,,,2071,2718,,,5149,1373,,,,1874,7629
61,1957-58,MNL,NBA,72,19,53,0.264,,2660,7192,2660,7192,,,2246,3007,,,5189,1322,,,,1982,7566
62,1956-57,MNL*,NBA,72,34,38,0.472,,2584,6965,2584,6965,,,2195,2899,,,4581,1195,,,,1887,7363
63,1955-56,MNL*,NBA,72,33,39,0.458,,2541,6543,2541,6543,,,2066,2627,,,4133,1689,,,,1978,7148
64,1954-55,MNL*,NBA,72,40,32,0.556,,2506,6465,2506,6465,,,1873,2517,,,3865,1468,,,,1935,6885
